8	aminocoumarin antibiotic	aminoglycoside antibiotic	antibacterial free fatty acids	bicyclomycin-like antibiotic	carbapenem	cephalosporin	cephamycin	diaminopyrimidine antibiotic	diarylquinoline antibiotic	disinfecting agents and antiseptics	elfamycin antibiotic	fluoroquinolone antibiotic	fusidane antibiotic	glycopeptide antibiotic	glycylcycline	isoniazid-like antibiotic	lincosamide antibiotic	macrolide antibiotic	monobactam	mupirocin-like antibiotic	nitrofuran antibiotic	nitroimidazole antibiotic	nucleoside antibiotic	nybomycin-like antibiotic	oxazolidinone antibiotic	pactamycin-like antibiotic	penam	penem	peptide antibiotic	phenicol antibiotic	phosphonic acid antibiotic	pleuromutilin antibiotic	polyamine antibiotic	pyrazine antibiotic	rifamycin antibiotic	salicylic acid antibiotic	streptogramin A antibiotic	streptogramin B antibiotic	streptogramin antibiotic	sulfonamide antibiotic	sulfone antibiotic	tetracycline antibiotic	thioamide antibiotic	zoliflodacin-like antibiotic
Argentina	0.047	0.039	0.0	0.004	0.042	0.048	0.03	0.061	0.0	0.061	0.001	0.091	0.0	0.02	0.009	0.0	0.013	0.093	0.041	0.0	0.0	0.0	0.006	0.006	0.001	0.0	0.048	0.024	0.041	0.1	0.001	0.013	0.0	0.0	0.003	0.0	0.013	0.013	0.013	0.02	0.0	0.098	0.0	0.0
Australia	0.041	0.044	0.0	0.002	0.042	0.047	0.032	0.045	0.0	0.057	0.002	0.079	0.0	0.032	0.016	0.0	0.017	0.092	0.042	0.0	0.0	0.0	0.014	0.004	0.003	0.0	0.047	0.024	0.047	0.088	0.001	0.017	0.0	0.0	0.004	0.0	0.017	0.017	0.017	0.018	0.001	0.097	0.0	0.0
Austria	0.043	0.041	0.0	0.001	0.046	0.047	0.031	0.056	0.0	0.066	0.001	0.085	0.0	0.023	0.013	0.0	0.012	0.095	0.041	0.0	0.0	0.0	0.01	0.005	0.001	0.0	0.049	0.025	0.041	0.093	0.001	0.012	0.0	0.0	0.003	0.0	0.012	0.012	0.012	0.019	0.0	0.105	0.0	0.0
Bangladesh	0.04	0.045	0.0	0.002	0.041	0.049	0.029	0.05	0.0	0.059	0.002	0.081	0.0	0.03	0.015	0.0	0.016	0.092	0.041	0.0	0.0	0.0	0.013	0.004	0.001	0.0	0.046	0.023	0.042	0.092	0.001	0.016	0.0	0.0	0.003	0.0	0.016	0.016	0.016	0.018	0.002	0.098	0.0	0.0
Belgium	0.042	0.044	0.0	0.002	0.044	0.049	0.031	0.053	0.0	0.061	0.002	0.084	0.0	0.027	0.016	0.0	0.012	0.092	0.041	0.0	0.0	0.0	0.013	0.004	0.001	0.0	0.048	0.023	0.045	0.092	0.001	0.012	0.0	0.0	0.003	0.0	0.012	0.012	0.012	0.018	0.001	0.102	0.0	0.0
Brazil	0.024	0.047	0.0	0.001	0.023	0.03	0.019	0.023	0.0	0.032	0.004	0.054	0.0	0.073	0.036	0.001	0.042	0.08	0.021	0.0	0.0	0.001	0.033	0.003	0.003	0.0	0.034	0.014	0.054	0.082	0.005	0.041	0.0	0.001	0.01	0.0	0.041	0.041	0.041	0.01	0.001	0.075	0.0	0.0
Bulgaria	0.053	0.039	0.0	0.002	0.05	0.057	0.038	0.061	0.0	0.059	0.002	0.093	0.0	0.01	0.01	0.0	0.002	0.09	0.053	0.0	0.0	0.0	0.006	0.002	0.002	0.0	0.057	0.03	0.046	0.094	0.002	0.002	0.0	0.0	0.004	0.0	0.002	0.002	0.002	0.023	0.0	0.105	0.0	0.0
Cambodia	0.044	0.046	0.0	0.002	0.043	0.049	0.031	0.054	0.0	0.058	0.002	0.086	0.0	0.026	0.016	0.0	0.011	0.089	0.043	0.0	0.0	0.0	0.014	0.003	0.001	0.0	0.048	0.024	0.046	0.093	0.001	0.011	0.0	0.0	0.003	0.0	0.011	0.011	0.011	0.019	0.001	0.101	0.0	0.0
Cameroon	0.045	0.043	0.0	0.002	0.042	0.047	0.031	0.052	0.0	0.052	0.003	0.081	0.0	0.03	0.019	0.0	0.012	0.088	0.045	0.0	0.0	0.0	0.016	0.003	0.002	0.0	0.046	0.026	0.054	0.088	0.001	0.012	0.0	0.0	0.004	0.0	0.012	0.012	0.012	0.021	0.001	0.101	0.0	0.0
Canada	0.043	0.044	0.0	0.002	0.044	0.048	0.032	0.051	0.0	0.055	0.002	0.081	0.0	0.029	0.018	0.0	0.013	0.09	0.043	0.0	0.0	0.0	0.015	0.003	0.001	0.0	0.048	0.024	0.047	0.091	0.001	0.013	0.0	0.0	0.003	0.0	0.013	0.013	0.013	0.019	0.0	0.1	0.0	0.0
Chile	0.043	0.042	0.0	0.002	0.046	0.051	0.031	0.054	0.0	0.068	0.001	0.094	0.0	0.019	0.011	0.0	0.01	0.098	0.045	0.0	0.0	0.0	0.009	0.005	0.001	0.0	0.049	0.022	0.041	0.096	0.001	0.01	0.0	0.0	0.003	0.0	0.01	0.01	0.01	0.015	0.0	0.105	0.0	0.0
China	0.041	0.043	0.0	0.002	0.044	0.048	0.031	0.05	0.0	0.059	0.001	0.085	0.0	0.027	0.015	0.0	0.014	0.092	0.041	0.0	0.0	0.0	0.013	0.005	0.002	0.0	0.048	0.024	0.045	0.091	0.002	0.014	0.0	0.0	0.004	0.0	0.014	0.014	0.014	0.018	0.0	0.099	0.0	0.0
Colombia	0.044	0.045	0.0	0.002	0.043	0.047	0.031	0.05	0.0	0.055	0.002	0.082	0.0	0.03	0.019	0.0	0.012	0.089	0.044	0.0	0.0	0.0	0.016	0.003	0.001	0.0	0.047	0.023	0.049	0.091	0.001	0.012	0.0	0.0	0.003	0.0	0.012	0.012	0.012	0.018	0.0	0.102	0.0	0.0
Czech Republic	0.042	0.045	0.0	0.002	0.041	0.046	0.03	0.05	0.0	0.057	0.002	0.081	0.0	0.031	0.017	0.0	0.015	0.091	0.041	0.0	0.0	0.0	0.015	0.003	0.001	0.0	0.046	0.023	0.046	0.092	0.001	0.015	0.0	0.0	0.003	0.0	0.015	0.015	0.015	0.018	0.0	0.099	0.0	0.0
Denmark	0.044	0.043	0.0	0.002	0.044	0.049	0.032	0.053	0.0	0.061	0.002	0.085	0.0	0.025	0.015	0.0	0.012	0.091	0.043	0.0	0.0	0.0	0.012	0.003	0.002	0.0	0.049	0.024	0.045	0.092	0.001	0.012	0.0	0.0	0.003	0.0	0.012	0.012	0.012	0.019	0.0	0.102	0.0	0.0
Ecuador	0.045	0.043	0.0	0.002	0.045	0.05	0.031	0.054	0.0	0.067	0.001	0.089	0.0	0.02	0.012	0.0	0.009	0.097	0.043	0.0	0.0	0.0	0.01	0.004	0.001	0.0	0.05	0.023	0.042	0.093	0.001	0.009	0.0	0.0	0.003	0.0	0.009	0.009	0.009	0.017	0.001	0.107	0.0	0.0
Egypt	0.044	0.043	0.0	0.002	0.045	0.05	0.035	0.052	0.0	0.055	0.002	0.082	0.0	0.026	0.017	0.0	0.011	0.087	0.045	0.0	0.0	0.0	0.013	0.002	0.002	0.0	0.05	0.026	0.046	0.093	0.002	0.011	0.0	0.0	0.004	0.0	0.011	0.011	0.011	0.021	0.001	0.1	0.0	0.0
Estonia	0.05	0.043	0.0	0.002	0.049	0.055	0.036	0.057	0.0	0.059	0.002	0.091	0.0	0.015	0.012	0.0	0.004	0.091	0.05	0.0	0.0	0.0	0.008	0.002	0.002	0.0	0.055	0.027	0.046	0.092	0.002	0.004	0.0	0.0	0.004	0.0	0.004	0.004	0.004	0.021	0.0	0.106	0.0	0.0
France	0.045	0.044	0.0	0.002	0.045	0.05	0.033	0.053	0.0	0.058	0.002	0.083	0.0	0.025	0.016	0.0	0.011	0.09	0.044	0.0	0.0	0.0	0.013	0.003	0.002	0.0	0.049	0.025	0.046	0.091	0.002	0.011	0.0	0.0	0.003	0.0	0.011	0.011	0.011	0.02	0.0	0.101	0.0	0.0
Germany	0.043	0.045	0.0	0.002	0.045	0.05	0.032	0.054	0.0	0.059	0.002	0.084	0.0	0.025	0.016	0.0	0.011	0.09	0.043	0.0	0.0	0.0	0.013	0.003	0.002	0.0	0.05	0.025	0.046	0.092	0.001	0.011	0.0	0.0	0.003	0.0	0.011	0.011	0.011	0.019	0.0	0.102	0.0	0.0
Ghana	0.047	0.045	0.0	0.002	0.047	0.054	0.036	0.056	0.0	0.059	0.002	0.087	0.0	0.019	0.015	0.0	0.005	0.087	0.049	0.0	0.0	0.0	0.012	0.002	0.002	0.0	0.054	0.03	0.052	0.088	0.002	0.005	0.0	0.0	0.004	0.0	0.005	0.005	0.005	0.021	0.0	0.103	0.0	0.0
Greece	0.045	0.04	0.0	0.002	0.046	0.052	0.032	0.051	0.0	0.063	0.002	0.087	0.0	0.022	0.013	0.0	0.011	0.093	0.044	0.0	0.001	0.0	0.009	0.005	0.002	0.0	0.051	0.025	0.044	0.089	0.004	0.011	0.0	0.0	0.006	0.0	0.011	0.011	0.011	0.017	0.0	0.101	0.0	0.0
Haiti	0.042	0.055	0.0	0.001	0.043	0.05	0.03	0.052	0.0	0.055	0.002	0.078	0.0	0.03	0.018	0.0	0.013	0.088	0.04	0.0	0.0	0.0	0.015	0.002	0.002	0.0	0.049	0.024	0.046	0.091	0.001	0.013	0.0	0.0	0.003	0.0	0.013	0.013	0.013	0.018	0.001	0.099	0.0	0.0
Hong Kong	0.042	0.045	0.0	0.002	0.046	0.052	0.034	0.052	0.0	0.056	0.002	0.083	0.0	0.025	0.015	0.0	0.011	0.089	0.044	0.0	0.0	0.0	0.012	0.002	0.001	0.0	0.052	0.026	0.045	0.091	0.002	0.011	0.0	0.0	0.003	0.0	0.011	0.011	0.011	0.019	0.0	0.101	0.0	0.0
Hungary	0.049	0.041	0.0	0.002	0.051	0.056	0.038	0.06	0.0	0.063	0.002	0.092	0.0	0.011	0.011	0.0	0.003	0.09	0.05	0.0	0.0	0.0	0.006	0.002	0.002	0.0	0.058	0.029	0.044	0.093	0.002	0.003	0.0	0.0	0.004	0.0	0.003	0.003	0.003	0.023	0.001	0.105	0.0	0.0
India	0.042	0.045	0.0	0.002	0.045	0.05	0.031	0.052	0.0	0.059	0.002	0.084	0.0	0.024	0.014	0.0	0.013	0.093	0.042	0.0	0.0	0.0	0.011	0.004	0.002	0.0	0.048	0.024	0.044	0.093	0.001	0.012	0.0	0.0	0.005	0.0	0.012	0.012	0.013	0.019	0.001	0.099	0.0	0.0
Iraq	0.035	0.048	0.0	0.001	0.032	0.041	0.025	0.04	0.0	0.039	0.005	0.074	0.0	0.046	0.026	0.0	0.025	0.079	0.032	0.0	0.002	0.0	0.021	0.004	0.004	0.0	0.04	0.02	0.052	0.082	0.006	0.025	0.0	0.0	0.008	0.0	0.025	0.027	0.027	0.015	0.002	0.087	0.0	0.0
